prev,b_int,cmi,auc_corrected_bias,auc_uncorrected_bias
-6,0.1,0.1,0.056399803307798174,0.08520525680828296
-4,0.1,0.1,0.11721418929928,0.12104305778756204
-2.5,0.1,0.1,0.177666484168218,0.20051278724212881
-6,0.2,0.1,0.05565159022789236,0.08135540725394072
-4,0.2,0.1,0.11446917699631066,0.1167975318658653
-2.5,0.2,0.1,0.16616516412186674,0.18025828717859269
-6,0.30000000000000004,0.1,0.05601769693860146,0.08205301077421448
-4,0.30000000000000004,0.1,0.111083352368242,0.11091311413373495
-2.5,0.30000000000000004,0.1,0.15224585827798642,0.15836452324524652
-6,0.4,0.1,0.05819518226497973,0.08143663164256162
-4,0.4,0.1,0.10509446944962084,0.10180097039931037
-2.5,0.4,0.1,0.13856687034693643,0.13672953426442985
-6,0.5,0.1,0.05529765421153893,0.08023862667076458
-4,0.5,0.1,0.09914123155786074,0.09185550190554408
-2.5,0.5,0.1,0.12418446002494131,0.1153389417593045
-6,0.6,0.1,0.058541521134757704,0.08162162403424826
-4,0.6,0.1,0.09233134531544307,0.08091069094339526
-2.5,0.6,0.1,0.11148618357544687,0.09661512190082411
-6,0.7000000000000001,0.1,0.055801602940173514,0.07480443764967619
-4,0.7000000000000001,0.1,0.0839924282329355,0.0687613108320378
-2.5,0.7000000000000001,0.1,0.09927969846728256,0.07968848658692872
-6,0.8,0.1,0.05334829359744444,0.07397253535755613
-4,0.8,0.1,0.07800046916385159,0.0579234493216225
-2.5,0.8,0.1,0.08957760096936877,0.0662592447287857
-6,0.9,0.1,0.04671753727074317,0.06188386327421576
-4,0.9,0.1,0.07176211557711286,0.04833822778524444
-2.5,0.9,0.1,0.08214698796620012,0.056061860478880045
-6,0.1,0.2,0.09492565458279013,0.16088063557660381
-4,0.1,0.2,0.1453702007980821,0.16915620636557005
-2.5,0.1,0.2,0.20213203036395594,0.2608764335875549
-6,0.2,0.2,0.09177484940329769,0.15841508860417364
-4,0.2,0.2,0.14341973699096566,0.16360104878354562
-2.5,0.2,0.2,0.1924577109204393,0.23543646069579516
-6,0.30000000000000004,0.2,0.09119850033751517,0.16103957054396678
-4,0.30000000000000004,0.2,0.140347290990222,0.1575035642951061
-2.5,0.30000000000000004,0.2,0.18048242782854257,0.20790161884354189
-6,0.4,0.2,0.09374350990425107,0.1543747051381154
-4,0.4,0.2,0.13639974528611154,0.14626849657310204
-2.5,0.4,0.2,0.16875787139451343,0.18103291482910855
-6,0.5,0.2,0.09086962711673172,0.1492177117986292
-4,0.5,0.2,0.130002597437728,0.1338156647217069
-2.5,0.5,0.2,0.15576565586863292,0.15413185041354435
-6,0.6,0.2,0.09023261458501107,0.15284803950254983
-4,0.6,0.2,0.12418182772099559,0.11882714151094262
-2.5,0.6,0.2,0.14422592252443103,0.13053130930994836
-6,0.7000000000000001,0.2,0.08870705257444911,0.1448901545134804
-4,0.7000000000000001,0.2,0.11722855966989129,0.10222230929308809
