prev,b_int,auc_corrected_bias,auc_uncorrected_bias
-6,0.1,-0.006283641612732535,0.01900068534564674
-4,0.1,0.031846656227953345,0.10035254302991829
-2.5,0.1,0.09126572588947743,0.20496640872507538
-6,0.2,-0.005626613437804442,0.020843226687890324
-4,0.2,0.031279791058978323,0.10055212109364048
-2.5,0.2,0.09226754318197856,0.20062929323019024
-6,0.30000000000000004,-0.0050895752528195915,0.02117568475069507
-4,0.30000000000000004,0.032528447109893846,0.0996144893494672
-2.5,0.30000000000000004,0.09509119432773053,0.1955120988747836
-6,0.4,-0.005043337090592377,0.020050911957155172
-4,0.4,0.03393454387694517,0.09948132800707993
-2.5,0.4,0.09588280856167199,0.18801153955408637
-6,0.5,-0.005374889641784402,0.020882839981327388
-4,0.5,0.03494741630809037,0.09952625524628703
-2.5,0.5,0.09847395265239245,0.1806748061706722
-6,0.6,-0.0063657048134811356,0.0197956972138505
-4,0.6,0.0345901136521282,0.09840793097455575
-2.5,0.6,0.09909878583529103,0.17186882061068798
-6,0.7000000000000001,-0.0045676743105497845,0.02156359791190927
-4,0.7000000000000001,0.03570394116678403,0.09677151345862157
-2.5,0.7000000000000001,0.1001406525628208,0.16336846898118826
-6,0.8,-0.0056149194415986824,0.019935742167901803
-4,0.8,0.03765907151788044,0.09485868787007129
-2.5,0.8,0.10037387877779368,0.15678835271147365
-6,0.9,-0.005096829175591063,0.020647188164082345
-4,0.9,0.038686844781374366,0.09444469483143982
-2.5,0.9,0.0992533409603128,0.1488797118031532
