prev,b_int,cmi,auc_corrected_bias,auc_uncorrected_bias
-6,0.1,0.1,0.07174009310411197,0.08277654300923881
-4,0.1,0.1,0.1028461745041795,0.1099207576104873
-2.5,0.1,0.1,0.17795391267228594,0.18468009331679366
-6,0.2,0.1,0.06594761716521907,0.08118578461158364
-4,0.2,0.1,0.10291240941106528,0.10996298788540021
-2.5,0.2,0.1,0.17488021795523948,0.18041354779202773
-6,0.30000000000000004,0.1,0.06809458773607231,0.08026252198350128
-4,0.30000000000000004,0.1,0.10408555879983421,0.11091913520254355
-2.5,0.30000000000000004,0.1,0.16853883880220713,0.17301152819581092
-6,0.4,0.1,0.07018906159135681,0.0858573062935685
-4,0.4,0.1,0.09999509822035384,0.10638611139575321
-2.5,0.4,0.1,0.1623762757232387,0.16571355420746417
-6,0.5,0.1,0.07212242489322185,0.08680493130461764
-4,0.5,0.1,0.09510282654551182,0.10026568572348779
-2.5,0.5,0.1,0.15610786235683605,0.1585726818072258
-6,0.6,0.1,0.06947944783591727,0.0786761895389609
-4,0.6,0.1,0.09311428563795923,0.09810041806884269
-2.5,0.6,0.1,0.14805896420350173,0.1496717890600768
-6,0.7000000000000001,0.1,0.06444443129605425,0.07889019893536173
-4,0.7000000000000001,0.1,0.0906355477846766,0.09455577772732787
-2.5,0.7000000000000001,0.1,0.1412344913765464,0.14233910096313487
-6,0.8,0.1,0.06681944625362166,0.07802544698897973
-4,0.8,0.1,0.0887878104727654,0.09209991496369713
-2.5,0.8,0.1,0.13489743013382915,0.1356749267443521
-6,0.9,0.1,0.06873567440070484,0.07190366658451955
-4,0.9,0.1,0.08716036726291485,0.08982789719058046
-2.5,0.9,0.1,0.12895358846434551,0.12942992957123978
-6,0.1,0.2,0.1290027772100596,0.16212660529189354
-4,0.1,0.2,0.14305183255994533,0.1483439290733006
-2.5,0.1,0.2,0.20732571986782417,0.23204790451472487
-6,0.2,0.2,0.12263232353357684,0.15333810601561054
-4,0.2,0.2,0.14057920795645,0.14572384529139465
-2.5,0.2,0.2,0.20275990047368864,0.22307179039109798
-6,0.30000000000000004,0.2,0.12482424823893551,0.15277699714865128
-4,0.30000000000000004,0.2,0.13919412359531497,0.14404566050627401
-2.5,0.30000000000000004,0.2,0.19680862530724905,0.2123234319756962
-6,0.4,0.2,0.12669952788322966,0.14376599528112607
-4,0.4,0.2,0.13905487307384495,0.14525575706415325
-2.5,0.4,0.2,0.18973518120712307,0.20171465238650663
-6,0.5,0.2,0.125578213063863,0.14922039354883215
-4,0.5,0.2,0.1331107067679174,0.13561984844644312
-2.5,0.5,0.2,0.18095900127934084,0.18921279242334724
-6,0.6,0.2,0.12361348058181115,0.14678110266095842
-4,0.6,0.2,0.1296413894904561,0.13109851971150654
-2.5,0.6,0.2,0.17051647312182783,0.17661099879955636
-6,0.7000000000000001,0.2,0.1281666048325435,0.14570065653193176
-4,0.7000000000000001,0.2,0.12656374260721645,0.12772550932763788
-2.5,0.7000000000000001,0.2,0.16144081235027394,0.165490452145576
-6,0.8,0.2,0.1269786062987103,0.14734313000040922
-4,0.8,0.2,0.11831238215486625,0.11937309597328151
-2.5,0.8,0.2,0.15435778107827336,0.15715211875034682
-6,0.9,0.2,0.13133717093305555,0.14386773361945746
-4,0.9,0.2,0.11305954086365792,0.1137531006959213
-2.5,0.9,0.2,0.14648712587332288,0.14808859026845847
-6,0.1,0.30000000000000004,0.15785251744980347,0.2228244357947168
-4,0.1,0.30000000000000004,0.18413966356012842,0.19720986501856635
-2.5,0.1,0.30000000000000004,0.2180337907756314,0.27288561957839075
-6,0.2,0.30000000000000004,0.15911248200890873,0.2162820678852728
-4,0.2,0.30000000000000004,0.18548093424927348,0.19110687226726022
-2.5,0.2,0.30000000000000004,0.21705927712619794,0.2640762094219486
-6,0.30000000000000004,0.30000000000000004,0.15283063711249922,0.21734245517284007
-4,0.30000000000000004,0.30000000000000004,0.18804911856945164,0.18893207888938307
-2.5,0.30000000000000004,0.30000000000000004,0.21522505525614333,0.2508055728759594
